dataset_10k_bellot_n_neighbours_1000_weights_distance_metric_manhattan_adjusted_True_njobs_3_batchsize_400_device_gpu
Split,MSE,MAE,r,r2
1,39.55419118135678,4.990741057690221,0.7354868969864335,0.5407274996207512
2,39.377422743949154,4.981589880918123,0.7358573113587197,0.5412243814502185
3,39.40212554583258,4.983989869672546,0.7355156666539654,0.5407510274145046
4,39.2654375809908,4.973917378863662,0.7379976260137925,0.5444114005966925
5,39.805423048272736,4.994465931946226,0.7349839403122438,0.5398655390184544
