dataset_10k_bellot_n_neighbours_1000_weights_distance_metric_manhattan_adjusted_True_njobs_3_batchsize_400_device_cpu
Split,MSE,MAE,r,r2
1,39.55416844048013,4.99073950079813,0.7354870787829106,0.5407277636701215
2,39.3774277571989,4.981590381937102,0.73585727293724,0.5412243230422121
3,39.40213278609884,4.9839900345930905,0.7355156127201029,0.5407509430260409
4,39.265457590106976,4.973920068893403,0.7379974606153366,0.5444111684351333
5,39.805436441731395,4.994467760301286,0.7349838303427457,0.539865384195533
