dataset_10k_bellot_n_neighbours_1000_weights_distance_metric_cosine_adjusted_True_njobs_3_batchsize_400_device_gpu
Split,MSE,MAE,r,r2
1,39.31361549003349,4.975660173010194,0.7373442985173204,0.5435208774142171
2,39.08981990000283,4.962377164214149,0.738068566602388,0.5445751637877554
3,39.14764676305752,4.967375042947136,0.7374862984753192,0.54371708870981
4,39.0212723807467,4.956672658527768,0.7398992141538074,0.5472443979718724
5,39.538753990830344,4.977877694097952,0.7370189664015373,0.5429481245962513
