cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,43.48139690947866,5.208184530167228,0.7101224850481712,0.5031506284990509
2,39.16321813246386,4.963549007988889,0.7218444415566094,0.5166893461236869
3,38.73250282731032,5.006057068045999,0.7293951178788571,0.5243742768091366
4,39.48137682932761,4.977756806629383,0.7073228703865237,0.4990204995441403
5,43.10368533776129,5.2981861992134585,0.665942012350822,0.42955869999699103
