cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_                   {args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_                       adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}                           _device_{args.device}
Split,MSE,MAE,r,r2
1,43.48139690947866,5.208184530167228,0.7101224850481712,0.5031506284990509
2,39.16321813246386,4.963549007988889,0.7218444415566094,0.5166893461236869
3,38.73250282731032,5.006057068045999,0.7293951178788571,0.5243742768091366
4,39.44555783383723,4.978101710190989,0.7077126713932493,0.49947500705904224
5,42.986062592951,5.286006177174906,0.6669858938694952,0.431115338853593
