dataset_10k_bellot_n_neighbours_1000_weights_distance_metric_fractional_adjusted_True_njobs_3_batchsize_400_device_gpu
Split,MSE,MAE,r,r2
1,39.624895692114734,4.995522155349741,0.7349005552052731,0.5399065338400324
2,39.43953390038429,4.985377350216516,0.7353324170810611,0.5405007412973912
3,39.473702704089916,4.988832201523951,0.7349162113962331,0.5399167643910027
4,39.339237266742046,4.979214305661289,0.7373919572287453,0.5435551183918026
5,39.87605370673843,4.998830658328328,0.7343971878239409,0.5390490774041041
