dataset_10k_bellot_n_neighbours_1000_weights_distance_metric_fractional_adjusted_True_njobs_3_batchsize_400_device_gpu
Split,MSE,MAE,r,r2
1,39.585194169533935,4.993034374991461,0.7352304015063708,0.5403675170380189
2,39.40559725304773,4.983402673703236,0.7356207668698699,0.5408961279247633
3,39.42976656042789,4.985857424046242,0.7352830683894708,0.5404288593238682
4,39.29661575264706,4.975919363116547,0.7377422941487451,0.544049646839905
5,39.831335403617985,4.996178458242782,0.7347677005015065,0.5395660027556418
