cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,40.63067746687853,5.059441066486681,0.7268346307798056,0.5282281782287725
2,40.43139955149659,5.048823155942648,0.7273671097579161,0.5289447849676374
3,40.48344575172379,5.055490213359996,0.7267899895974567,0.528147768409763
4,40.33072991047071,5.041961617463069,0.7294732352078274,0.5320510381445547
5,40.89839977814207,5.064513130164222,0.7261911940550719,0.527231173649346
