cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,39.56544775685821,4.991611315906975,0.735397415673591,0.540596797022067
2,39.39083867349439,4.982519940569619,0.7357512870151474,0.5410680761121175
3,39.41424203811112,4.984799582304026,0.7354193254961934,0.5406098044080506
4,39.273953755888364,4.974581965804051,0.7379297468146132,0.5443125892136319
5,39.819780259757025,4.995467269684277,0.7348695036095939,0.5396995755074143
