cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,41.37239355439036,5.102029184457983,0.7208549752049452,0.5196159479717768
2,41.24014989787912,5.097927949526181,0.7208097799472232,0.5195222551381298
3,41.317740913192324,5.1069188757230135,0.7200249646162593,0.518423694126212
4,41.14501898741289,5.092039594447953,0.7229392342389702,0.5226030135476482
5,41.64499501636919,5.1062856341166665,0.7201703229017044,0.5186008370970524
