cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,39.45643519392396,4.984854375328387,0.7363156337431216,0.5418625661063596
2,39.28627770939829,4.975219531424773,0.7366396500455552,0.5422862874026653
3,39.31363987073502,4.978629901535617,0.7362788439138114,0.5417823665824848
4,39.16608255796618,4.967248677643281,0.7388301701042127,0.5455641959957023
5,39.69589995205347,4.98868182113768,0.7358991467873176,0.5411315813560214
