cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,39.32683365242519,4.976685051467358,0.7372391428051953,0.5433673983944032
2,39.105367443028065,4.963453085165312,0.737945269562013,0.5443940236020527
3,39.16130942676646,4.968313753043858,0.737377332836125,0.5435578444004182
4,39.03171909052054,4.957468962045779,0.7398159770824401,0.5471231869993876
5,39.55528543869191,4.979022413873628,0.7368872101432383,0.5427570277991691
