cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,40.06114613152954,5.023120146755222,0.731403568109088,0.5348411330792651
2,39.868672482765156,5.012946606899752,0.7318844660746341,0.5355009646523945
3,39.89041933273892,5.014884688380877,0.7315698706620578,0.535059750183895
4,39.75146307915855,5.005014280562821,0.7341027389248215,0.5387721491423362
5,40.300151206928206,5.026664877121781,0.7309881412582626,0.5341466832148303
