cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,40.19211147440213,5.032086479669703,0.7303515400735805,0.5333204653905153
2,39.98546795925003,5.020943804510848,0.7309380741432672,0.5341402123929949
3,40.035112582654676,5.025130763935057,0.7304012921592657,0.5333732871963445
4,39.90019638525022,5.0140873708187526,0.7329103304126313,0.5370464279284274
5,40.43843176535978,5.034822778493926,0.7298779896059167,0.5325482163390737
