cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,40.255424443868904,5.036024005294121,0.7298351949476275,0.5325853244376864
2,40.058766966194966,5.025704758428232,0.7303344452183886,0.5332862256435595
3,40.107818332801614,5.030299427946148,0.7298051076078018,0.5325258699417297
4,39.97616208571725,5.019293914992557,0.7322970843024956,0.5361650139111487
5,40.516779370398524,5.040020684680307,0.7292365382971939,0.5316425499686905
