cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,40.02233620365786,5.020516750273444,0.7317002201838754,0.5352917637730249
2,39.79242866248212,5.006960929235358,0.7324151236946014,0.5363892606193092
3,39.85107478889991,5.011763436957333,0.7318474235652837,0.5355183280165525
4,39.71198369640332,5.000599823739396,0.7344309250711822,0.5392302201025199
5,40.24696136298618,5.022929879434887,0.7313404084931343,0.534761536124251
