cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,41.554798178206916,5.114875058502591,0.7193790015531795,0.5174980073652589
2,41.38922384589477,5.105469736263804,0.7195781830053845,0.5177854352056712
3,41.5025410569755,5.117865309982527,0.7185196360848047,0.5162697677836507
4,41.336714573306764,5.102425403136223,0.7213930507714978,0.5203788100529323
5,41.781250370349326,5.115273849279408,0.7190556820402859,0.5170257807590386
