cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,41.40778177209582,5.103989223053633,0.7205686364113425,0.519205047514856
2,41.27898204777436,5.099827240668238,0.7204790041908721,0.5190698323449051
3,41.342985084998276,5.109030181343322,0.7198154867733381,0.518129462284527
4,41.170114301052465,5.0935417345425815,0.7227418353091201,0.5223118379108287
5,41.667768469551724,5.107495041989954,0.7199750221916184,0.5183375852634486
