cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,41.58419817730418,5.116426852409821,0.7191411639187528,0.5171566374448215
2,41.409966812081,5.106819887350527,0.719410112382843,0.5175437645609334
3,41.52304163536808,5.119489371234361,0.7183533693855946,0.5160308245938158
4,41.35752547196718,5.104511165783587,0.7212259935771999,0.520137345580431
5,41.78575701444113,5.116606310772436,0.7190202862485113,0.5169736857907852
