cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,40.628856984449165,5.059300822411579,0.7268383257459771,0.528249316254662
2,40.38819872831118,5.045096111487851,0.7276437652304912,0.529448105982515
3,40.47709341108936,5.053364613786062,0.7268075749289697,0.5282218077127057
4,40.32370603985885,5.040659668010447,0.7295330986903038,0.5321325346354023
5,40.87711027261668,5.063797732208758,0.7263092210734616,0.527477271653068
