cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,41.55887233759476,5.115160463729062,0.7193455391399172,0.5174507013955725
2,41.37746912995762,5.104137407253885,0.7196747162869617,0.5179223861968525
3,41.50222647345569,5.118443840895931,0.7185221897512629,0.5162734343918924
4,41.31947972023803,5.101566939870057,0.7215314517070258,0.5205787824218715
5,41.78923317391284,5.11595659350136,0.718991803609848,0.5169335028045909
