cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,39.86358181929076,5.009911012442006,0.7329643470099844,0.5371350961956283
2,39.61725796748176,4.996021021274982,0.733815647125184,0.5384301266372087
3,39.67655817690544,5.000426342579548,0.7332467582650605,0.5375523953072712
4,39.552514668997,4.9905148931849,0.7356953238767826,0.5410805056289297
5,40.0715772038695,5.01124361636196,0.7327393765867262,0.5367889054960571
