cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,39.456484831312025,4.984857887506031,0.7363152317764402,0.5418619897556205
2,39.286255899245745,4.9752155066609545,0.7366398232209572,0.5422865415068073
3,39.313638356802,4.978628452189435,0.7362788516490683,0.5417823842280349
4,39.166125927253546,4.967252829953192,0.7388298180815336,0.5455636927909984
5,39.695872458461466,4.98868141137079,0.7358993611359468,0.5411318991707352
