cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,39.610562719765895,4.994463244096188,0.7349876374675295,0.5400729571659029
2,39.423795006427014,4.984415702257245,0.7354094730714609,0.540684110860643
3,39.45583286221641,4.98677224672225,0.7350342983232708,0.5401250451983699
4,39.320657595874344,4.976156563897115,0.7375302511057822,0.5437706943983232
5,39.8494518343966,4.998314934762284,0.7345460876187893,0.5393565842022674
