cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,41.10946324628948,5.089535129514232,0.7229718592979396,0.5226688901865046
2,40.93927522182071,5.080987369654435,0.7232418157014721,0.5230276639738534
3,41.01190869906511,5.0875583801090745,0.7225046804691926,0.5219883020801179
4,40.90990858994948,5.077966595959973,0.7248187465217626,0.5253309499539233
5,41.38356801669761,5.093277536483107,0.7222695411767491,0.5216228266243091
