cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,41.608031403456515,5.117780334741647,0.7189480469145273,0.5168799045616511
2,41.412934500009534,5.106732723065438,0.7193865832352709,0.5175091888378363
3,41.54474798364966,5.120002726585463,0.7181769445100572,0.5157778276295961
4,41.3804825905917,5.105768394440555,0.721040143682191,0.5198709789698743
5,41.80781741786287,5.116227353806178,0.7188412887460095,0.5167186765216916
