cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,41.12000981208133,5.090425722248732,0.7228871682655004,0.5225464316682802
2,40.94552225967291,5.081738998499436,0.7231921729829525,0.5229548814387093
3,41.00801089225995,5.08774874559135,0.7225363854845348,0.5220337327198564
4,40.90542922111299,5.077696951176931,0.7248549382498338,0.5253829231267733
5,41.383787750528725,5.093176118113135,0.7222684338684767,0.5216202865908113
