cv_10k_bellot_n_components_None_n_neighbours_1_weights_uniform, distance_metric_mahalanobis_p_2_adjusted_True_njobs_4_batchsize_400_device_cpu
Split,MSE,MAE,r,r2
1,80.62903722428949,7.134718182509337,0.5300876634767722,0.06379833784530053
2,80.69513443881362,7.129605680845096,0.5288537137269692,0.05984298523414033
3,80.91351734489153,7.129665704261151,0.5276704236520072,0.05691763593575172
4,80.40589953622019,7.124438408005326,0.529438307868993,0.06706728842864296
5,80.3033290890681,7.11969437666189,0.5311883017101742,0.07172625698232837
