cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,41.17853982685348,5.0940379272975225,0.722411719118082,0.5218668266648965
2,41.006443694248084,5.086152285479362,0.7226727123820812,0.5222451024109678
3,41.07503664125609,5.090996990319784,0.7219818282671938,0.521252518358021
4,40.977513009246124,5.083337669290899,0.7242794577961364,0.5245465501204234
5,41.45079916198381,5.097842812002807,0.7217113884452585,0.5208456619962654
