cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,39.926794961335936,5.015655537186938,0.7326282531309544,0.5364011143611671
2,39.696836488993306,5.000732417521137,0.7334572526490927,0.5375029789752825
3,39.768492255269564,5.008424440361134,0.732704116978987,0.5364808634939631
4,39.650704520505826,4.998976899178227,0.7350242060236724,0.5399412294695274
5,40.170841162565466,5.016908336651576,0.732201491784655,0.5356414546054067
