cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,41.086729215980476,5.087669895047449,0.7231561381541027,0.5229328600625625
2,40.92058696484137,5.07987785044416,0.7233969138014842,0.5232453957617123
3,40.98072951909933,5.0860665530606,0.7227593524505177,0.5223517090325851
4,40.876853547682956,5.076088412827404,0.7250848655762668,0.5257144806449632
5,41.35994113310627,5.091453560145185,0.7224621805495465,0.5218959437654783
