cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,41.39477269514284,5.103267874084219,0.7206725685126811,0.5193560987971949
2,41.27250375478798,5.099782832988167,0.720539122781531,0.5191453091705802
3,41.332843068594364,5.107911183358406,0.7198995781357161,0.5182476719127875
4,41.15885660576441,5.093014175735787,0.7228280138480808,0.5224424585773682
5,41.66296121855914,5.107573640282872,0.7200189584752772,0.5183931551249117
