cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,41.57210154897362,5.115827436206702,0.7192392272481993,0.517297094083514
2,41.392763945592904,5.1055012613858874,0.719549593774768,0.5177441904690795
3,41.50077393109454,5.117945445615768,0.718533986768818,0.5162903644071581
4,41.34423680394513,5.103570791617563,0.7213324733864549,0.5202915311956968
5,41.797096570189765,5.11595736344684,0.718927642814167,0.5168426051496915
