cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,41.18116406666023,5.094407262876389,0.722390750249623,0.5218363560335514
2,41.01681280389241,5.086597701642971,0.7225891698135316,0.5221242947410037
3,41.096053904693996,5.092091863513029,0.7218116650360812,0.5210075529784455
4,40.98893984798381,5.0838707862052015,0.7241869381475918,0.5244139669180747
5,41.460198523911366,5.098002287020054,0.7216358773264493,0.5207370092046881
