cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,40.02007194149911,5.0211841093569465,0.7317752247102848,0.5353180546239336
2,39.82808327694377,5.0099196406874,0.732267487338549,0.5359738584252611
3,39.856950118593915,5.013090958759271,0.7318889623296815,0.5354498484843397
4,39.713165669882486,5.001928019700869,0.7344431581278298,0.5392165059132716
5,40.26416784165914,5.024271482909737,0.731328195855564,0.5345626362462126
