cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,41.30648786021563,5.09845909280831,0.7213959905588374,0.520381193627138
2,41.135230591316976,5.091259807750865,0.7216321427417882,0.5207446413790693
3,41.210693631010706,5.100784672151643,0.7208975265440093,0.5196713769270497
4,41.05854255349284,5.086935681493799,0.7236589657188883,0.523606381390672
5,41.54830060377461,5.100124199747095,0.7209334836029839,0.5197185850824255
