cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,41.400424008427265,5.103592620051977,0.720627361386265,0.5192904801432661
2,41.26664521552772,5.099357730612117,0.7205828097104462,0.5192135654145298
3,41.34012927537224,5.108497818952372,0.7198391884114183,0.5181627479923026
4,41.1587453402803,5.092879537809932,0.7228317849241741,0.5224437495673377
5,41.65706105882452,5.106881369441817,0.7200638542601241,0.5184613585658324
