cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,41.149263796457085,5.091871749426118,0.7226524884235354,0.5222067571572098
2,40.97434903641847,5.083830716120683,0.7229616483700547,0.5226190285207
3,41.04067971833991,5.0899269331957955,0.722272809104151,0.5216529632916858
4,40.93838201674242,5.079208883123337,0.724591570929359,0.5250005787819211
5,41.40521746240826,5.094450064946512,0.7220973065452564,0.5213725678588003
