cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,41.3950869752382,5.103314416708258,0.7206702690210287,0.5193524496211934
2,41.25272977262026,5.098924018861636,0.7207000470116005,0.5193756904466522
3,41.33144043147849,5.107591999464303,0.7199105644056842,0.5182640202606354
4,41.15305512377162,5.092633478215786,0.7228760841852653,0.5225097719506142
5,41.655239203431115,5.106805815608204,0.7200815876554761,0.5184824184713737
