cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,40.602460300892524,5.057651953330677,0.7270565041256302,0.5285558140112004
2,40.40015069471156,5.046046600249665,0.7276109975552305,0.5293088568799551
3,40.45082556657534,5.053082255257234,0.7270469747056997,0.5285279709066448
4,40.30222453919664,5.039706664509002,0.729696474613484,0.532381779961641
5,40.85862360194992,5.0618377692134455,0.7265026152642461,0.5276909700285954
