cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,41.37865726854532,5.102657833937204,0.7208063506632544,0.5195432185953015
2,41.216774242236205,5.096645092139265,0.7210056126241644,0.5197945985300861
3,41.31150433507671,5.106075948850798,0.7200795343077846,0.5184963841664667
4,41.13611967700539,5.091381664888571,0.7230115109535455,0.5227062703713075
5,41.62391427117618,5.104839970240823,0.7203465945012671,0.5188445219164477
