cv_10k_bellot_n_components_None_n_neighbours_10_weights_uniform, distance_metric_mahalanobis_p_2_adjusted_True_njobs_4_batchsize_400_device_cpu
Split,MSE,MAE,r,r2
1,44.99145432364777,5.3229353985031524,0.6934448267648332,0.4775942294413592
2,44.80480280715983,5.315120534766803,0.6937630980329327,0.4779914557761571
3,45.048131561675845,5.333710191097757,0.6917615409549002,0.4749443627722264
4,44.86831531584687,5.321547861110543,0.6945379419674479,0.47940239071144874
5,45.409535649481306,5.335830382503291,0.6916693225823053,0.4750842822557809
