cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,39.826236234451315,5.008311141265831,0.7333657743950839,0.5375687240771514
2,39.61356654561036,4.995980026637872,0.7340397288359515,0.5384731343871926
3,39.64246745026729,4.999071315573085,0.733653940539806,0.5379497376071187
4,39.52064483256347,4.990891993066615,0.7360082211842337,0.5414502846264009
5,40.05733238459209,5.010898262605303,0.7330314922721735,0.5369535697990102
