cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,41.04008581375116,5.085686097280704,0.7235433404258134,0.5234744469672177
2,40.87569260793181,5.076694312771435,0.7237803764510817,0.5237684476763718
3,40.91930760373344,5.082387817124287,0.7232717149625687,0.5230676082673411
4,40.821493522744056,5.072657152418115,0.7255370683150477,0.5263568113505059
5,41.295157777577344,5.087144215477992,0.7230057257283528,0.5226448129419403
