cv_10k_bellot_n_components_None_n_neighbours_20_weights_uniform, distance_metric_mahalanobis_p_2_adjusted_True_njobs_4_batchsize_400_device_cpu
Split,MSE,MAE,r,r2
1,43.154013088364536,5.21623029523526,0.7068819110162903,0.4989291677936373
2,42.919156452784996,5.20108893220175,0.7076240614392849,0.49996060744511406
3,43.03574979607996,5.213343590917255,0.706567543263265,0.4983995506712824
4,42.858265627249516,5.2007238668095646,0.7094341718137893,0.5027245737501641
5,43.47273087835063,5.218652223226841,0.7058687810857927,0.49747295573652595
