cv_{args.dataset}_n_components_{args.n_components}_n_neighbours_{args.n_neighbors}_weights_{args.weights}_metric_{args.metric}_p_{args.p}_adjusted_{args.unadjusted}_njobs_{args.n_jobs}_batchsize_{args.batch_size}_device_{args.device}
Split,MSE,MAE,r,r2
1,40.66766998613125,5.061206901565048,0.7265372966771347,0.5277986498702067
2,40.46728088271,5.050154220590364,0.7270743983916437,0.5285267413585151
3,40.506589953751366,5.055522207394016,0.7266044174186778,0.5278780126324989
4,40.36913757543032,5.043754106917309,0.7291672813608266,0.5316054021001528
5,40.89524127120305,5.064505283841338,0.726217694605311,0.5272676847017757
